==14169== NVPROF is profiling process 14169, command: ./gauss_gpu img/src/mountain_4096.jpg img/dest/mountain_4096.jpg 8 16
==14169== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14169== Profiling application: ./gauss_gpu img/src/mountain_4096.jpg img/dest/mountain_4096.jpg 8 16
Width:4096, Height:2731 Size(in Bytes):134234112
block.x=8, block.y=16, grid.x=512, grid.y=171
Time: 50.806319
Done!
==14169== Profiling result:
==14169== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GT 1030 (0)"
    Kernel: ComputeConvolution(unsigned char*, unsigned char const *, int, int, float*, int)
          3                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)       0.70%       0.70%       0.70%
          3                         shared_efficiency                                              Shared Memory Efficiency       0.00%       0.00%       0.00%
          3                                inst_fp_32                                               FP Instructions(Single)   906080256   906080256   906080256
          3                                inst_fp_64                                               FP Instructions(Double)           0           0           0
          3                              inst_integer                                                  Integer Instructions  9799274496  9799274496  9799274496
          3                          inst_bit_convert                                              Bit-Convert Instructions   917266432   917266432   917266432
          3                              inst_control                                             Control-Flow Instructions   402722816   402722816   402722816
          3                        inst_compute_ld_st                                               Load/Store Instructions  1823346688  1823346688  1823346688
          3                                 inst_misc                                                     Misc Instructions  1812283392  1812283392  1812283392
          3           inst_inter_thread_communication                                             Inter-Thread Instructions           0           0           0
          3                               issue_slots                                                           Issue Slots   429443142   429443443   429443283
          3                                 cf_issued                                      Issued Control-Flow Instructions    23080448    23080448    23080448
          3                               cf_executed                                    Executed Control-Flow Instructions    23080448    23080448    23080448
          3                               ldst_issued                                        Issued Load/Store Instructions   229402624   229402624   229402624
          3                             ldst_executed                                      Executed Load/Store Instructions    58401280    58401280    58401280
          3                       atomic_transactions                                                   Atomic Transactions           0           0           0
          3           atomic_transactions_per_request                                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          3                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          3                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)           0           0           0
          3                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)   166462064   166462064   166462064
          3                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.45%       0.45%       0.45%
          3                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       2.03%       2.04%       2.03%
          3                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)     2796544     2796544     2796544
