==4519== NVPROF is profiling process 4519, command: ./gauss_gpu img/src/mountain_1024_square.jpg img/dest/mountain_1024_square.jpg
==4519== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4519== Profiling application: ./gauss_gpu img/src/mountain_1024_square.jpg img/dest/mountain_1024_square.jpg
Width:1024, Height:1024 Size(in Bytes):12582912
Time: 6.261125
Done!
==4519== Profiling result:
==4519== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GT 1030 (0)"
    Kernel: ComputeConvolution(unsigned char*, unsigned char const *, int, int, float*, int)
          3                        shared_utilization                                             Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
          3                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          3                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          3                    special_fu_utilization                                     Special Function Unit Utilization     Low (2)     Low (2)     Low (2)
          3                        tex_fu_utilization                                     Texture Function Unit Utilization     Mid (5)     Mid (5)     Mid (5)
          3           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Mid (4)     Mid (4)     Mid (4)
          3           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          3                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          3                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       2.72%       2.73%       2.72%
          3                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
          3                    dram_read_transactions                                       Device Memory Read Transactions       32784       32864       32837
          3                   dram_write_transactions                                      Device Memory Write Transactions       33495       33531       33517
          3                      dram_read_throughput                                         Device Memory Read Throughput  198.91MB/s  212.69MB/s  206.40MB/s
          3                     dram_write_throughput                                        Device Memory Write Throughput  203.22MB/s  217.00MB/s  210.67MB/s
          3                          dram_utilization                                             Device Memory Utilization     Low (1)     Low (1)     Low (1)
          3             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          3                          ecc_transactions                                                      ECC Transactions           0           0           0
          3                            ecc_throughput                                                        ECC Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          3                           dram_read_bytes                                Total bytes read from DRAM to L2 cache     1049088     1051648     1050794
          3                          dram_write_bytes                             Total bytes written from L2 cache to DRAM     1071840     1072992     1072565
